SchoolName,NCESID,Lat,Long
Manassah E Bradley,250279000283,42.391609,-71.005114
Margarita Muniz Academy,250279002753,42.307189,-71.114194
Mario Umana Academy,250279002721,42.3784,-71.040683
Mather,250279000289,42.308394,-71.061018
Mattahunt Elementary School,250279002874,42.276004,-71.103212
Maurice J Tobin,250279000291,42.332988,-71.098446
Michael J Perkins,250279000292,42.331311,-71.050521
Mildred Avenue K-8,250279002670,42.276108,-71.091333
Mission Hill School,250279000946,42.307506,-71.114359
Mozart,250279000294,42.281285,-71.141115
Nathan Hale,250279000295,42.32548,-71.091144
New Mission High School,250279000704,42.262966,-71.117887
O W Holmes,250279002569,42.296752,-71.075664
O'Bryant School Math/Science,250279000205,42.331358,-71.088923
Oliver Hazard Perry,250279000297,42.332111,-71.030239
Orchard Gardens,250279002006,42.33048,-71.077399
Patrick J Kennedy,250279000302,42.378473,-71.030372
Paul A Dever,250279000304,42.317521,-71.042985
Pauline Agassiz Shaw Elementary School,250279002839,42.282104,-71.086906
Phineas Bates,250279000308,42.277667,-71.135391
Quincy Upper School,250279001296,42.348369,-71.06893
Rafael Hernandez,250279000312,42.313857,-71.098009
Richard J Murphy,250279000315,42.294022,-71.049
Roger Clap,250279000319,42.323175,-71.058142
Samuel Adams,250279000321,42.365512,-71.034894
Samuel W Mason,250279000322,42.326074,-71.071302
Sarah Greenwood,250279000323,42.297136,-71.08039
Snowden International School At Copley,250279000217,42.350586,-71.077915
Techboston Academy,250279002725,42.285248,-71.075837
The English High,250279000327,42.306235,-71.109548
Thomas J Kenny,250279000332,42.286516,-71.053475
Up Academy Charter School Of Boston,250053302713,42.333615,-71.050763
Up Academy Charter School Of Dorchester,250054902783,42.299787,-71.070967
Up Academy Holland,250279000268,42.306347,-71.073293
Warren-Prescott,250279000333,42.378049,-71.064433
Warren-Prescott,250279000333,42.378049,-71.064433
Washington Irving Middle,250279000334,42.283586,-71.124979
William E Russell,250279000337,42.320318,-71.05963
William Ellery Channing,250279000338,42.2516,-71.133341
William H Ohrenberger,250279000339,42.260498,-71.14918
William Mckinley,250279000342,42.344399,-71.073364
William Mckinley,250279000342,42.344399,-71.073364
William Mckinley,250279000342,42.344399,-71.073364
William Monroe Trotter,250279000343,42.31571,-71.087889
Winship Elementary,250279000344,42.347552,-71.155435
Young Achievers,250279000693,42.28227,-71.095014
